ParentId,DataTagId,DataFloat,DataInt,DataText,RelatedItemId,DatumColumnId,DatumColumnId,UserLabelId,DataTagId,UserLabelId,Label,DataTagId,DataCategoryId,Description,DataCategoryId,Description,Guid,Name,Guid,SampleId,Guid,SpecimenId,CreateDate
A4B14B24-DD6E-4682-BE9F-227451CEB423,47,NULL,NULL,ISO 527-2 (2012) MLS Edit,A4B14B24-DD6E-4682-BE9F-227451CEB423,72,72,71,47,71,Method name,47,15,Method name,15,General,426C22EE-C7BF-4D1B-8336-40EE22A63702,PA6 + BN 20% Flakes,4E243530-456C-4397-B274-C9B552A08DC9,426C22EE-C7BF-4D1B-8336-40EE22A63702,A4B14B24-DD6E-4682-BE9F-227451CEB423,4E243530-456C-4397-B274-C9B552A08DC9,22:23.2
A4B14B24-DD6E-4682-BE9F-227451CEB423,48,NULL,6.37396E+17,NULL,A4B14B24-DD6E-4682-BE9F-227451CEB423,73,73,72,48,72,Method saved date,48,15,Method saved date,15,General,426C22EE-C7BF-4D1B-8336-40EE22A63702,PA6 + BN 20% Flakes,4E243530-456C-4397-B274-C9B552A08DC9,426C22EE-C7BF-4D1B-8336-40EE22A63702,A4B14B24-DD6E-4682-BE9F-227451CEB423,4E243530-456C-4397-B274-C9B552A08DC9,22:23.2
A4B14B24-DD6E-4682-BE9F-227451CEB423,49,NULL,NULL,Tension,A4B14B24-DD6E-4682-BE9F-227451CEB423,74,74,73,49,73,Test type,49,15,Test type,15,General,426C22EE-C7BF-4D1B-8336-40EE22A63702,PA6 + BN 20% Flakes,4E243530-456C-4397-B274-C9B552A08DC9,426C22EE-C7BF-4D1B-8336-40EE22A63702,A4B14B24-DD6E-4682-BE9F-227451CEB423,4E243530-456C-4397-B274-C9B552A08DC9,22:23.2
A4B14B24-DD6E-4682-BE9F-227451CEB423,50,NULL,NULL,3366Q1341,A4B14B24-DD6E-4682-BE9F-227451CEB423,75,75,74,50,74,System ID,50,15,System ID,15,General,426C22EE-C7BF-4D1B-8336-40EE22A63702,PA6 + BN 20% Flakes,4E243530-456C-4397-B274-C9B552A08DC9,426C22EE-C7BF-4D1B-8336-40EE22A63702,A4B14B24-DD6E-4682-BE9F-227451CEB423,4E243530-456C-4397-B274-C9B552A08DC9,22:23.2
A4B14B24-DD6E-4682-BE9F-227451CEB423,53,56565063.48,NULL,NULL,A4B14B24-DD6E-4682-BE9F-227451CEB423,78,78,77,53,77,Tensile Strength,53,23,Tensile stress at Max Load,23,Max Load,426C22EE-C7BF-4D1B-8336-40EE22A63702,PA6 + BN 20% Flakes,4E243530-456C-4397-B274-C9B552A08DC9,426C22EE-C7BF-4D1B-8336-40EE22A63702,A4B14B24-DD6E-4682-BE9F-227451CEB423,4E243530-456C-4397-B274-C9B552A08DC9,22:23.2
A4B14B24-DD6E-4682-BE9F-227451CEB423,54,56565063.48,NULL,NULL,A4B14B24-DD6E-4682-BE9F-227451CEB423,124,124,122,54,122,Yield Stress,54,24,Tensile stress at Yield (Zero Slope),24,Yield (Zero Slope),426C22EE-C7BF-4D1B-8336-40EE22A63702,PA6 + BN 20% Flakes,4E243530-456C-4397-B274-C9B552A08DC9,426C22EE-C7BF-4D1B-8336-40EE22A63702,A4B14B24-DD6E-4682-BE9F-227451CEB423,4E243530-456C-4397-B274-C9B552A08DC9,22:23.2
A4B14B24-DD6E-4682-BE9F-227451CEB423,55,0.031569198,NULL,NULL,A4B14B24-DD6E-4682-BE9F-227451CEB423,127,127,125,55,125,Tensile strain at Yield,55,24,Tensile strain (Strain 1) at Yield (Zero Slope),24,Yield (Zero Slope),426C22EE-C7BF-4D1B-8336-40EE22A63702,PA6 + BN 20% Flakes,4E243530-456C-4397-B274-C9B552A08DC9,426C22EE-C7BF-4D1B-8336-40EE22A63702,A4B14B24-DD6E-4682-BE9F-227451CEB423,4E243530-456C-4397-B274-C9B552A08DC9,22:23.2
A4B14B24-DD6E-4682-BE9F-227451CEB423,56,0.038417719,NULL,NULL,A4B14B24-DD6E-4682-BE9F-227451CEB423,128,128,126,56,126,Tensile strain at Break,56,25,Tensile strain (Strain 1) at Break (Standard),25,Break (Standard),426C22EE-C7BF-4D1B-8336-40EE22A63702,PA6 + BN 20% Flakes,4E243530-456C-4397-B274-C9B552A08DC9,426C22EE-C7BF-4D1B-8336-40EE22A63702,A4B14B24-DD6E-4682-BE9F-227451CEB423,4E243530-456C-4397-B274-C9B552A08DC9,22:23.2
A4B14B24-DD6E-4682-BE9F-227451CEB423,58,55928707.12,NULL,NULL,A4B14B24-DD6E-4682-BE9F-227451CEB423,125,125,123,58,123,Tensile stress at Break,58,25,Tensile stress at Break (Standard),25,Break (Standard),426C22EE-C7BF-4D1B-8336-40EE22A63702,PA6 + BN 20% Flakes,4E243530-456C-4397-B274-C9B552A08DC9,426C22EE-C7BF-4D1B-8336-40EE22A63702,A4B14B24-DD6E-4682-BE9F-227451CEB423,4E243530-456C-4397-B274-C9B552A08DC9,22:23.2
A4B14B24-DD6E-4682-BE9F-227451CEB423,61,1.67E-05,NULL,NULL,A4B14B24-DD6E-4682-BE9F-227451CEB423,88,88,87,61,87,Rate 1,61,27,Rate 1,27,Test,426C22EE-C7BF-4D1B-8336-40EE22A63702,PA6 + BN 20% Flakes,4E243530-456C-4397-B274-C9B552A08DC9,426C22EE-C7BF-4D1B-8336-40EE22A63702,A4B14B24-DD6E-4682-BE9F-227451CEB423,4E243530-456C-4397-B274-C9B552A08DC9,22:23.2
A4B14B24-DD6E-4682-BE9F-227451CEB423,65,NULL,6.3748E+17,NULL,A4B14B24-DD6E-4682-BE9F-227451CEB423,99,99,97,65,97,Last test date,65,15,Last test date,15,General,426C22EE-C7BF-4D1B-8336-40EE22A63702,PA6 + BN 20% Flakes,4E243530-456C-4397-B274-C9B552A08DC9,426C22EE-C7BF-4D1B-8336-40EE22A63702,A4B14B24-DD6E-4682-BE9F-227451CEB423,4E243530-456C-4397-B274-C9B552A08DC9,22:23.2
A4B14B24-DD6E-4682-BE9F-227451CEB423,66,NULL,6.3748E+17,NULL,A4B14B24-DD6E-4682-BE9F-227451CEB423,100,100,98,66,98,Last test time,66,15,Last test time,15,General,426C22EE-C7BF-4D1B-8336-40EE22A63702,PA6 + BN 20% Flakes,4E243530-456C-4397-B274-C9B552A08DC9,426C22EE-C7BF-4D1B-8336-40EE22A63702,A4B14B24-DD6E-4682-BE9F-227451CEB423,4E243530-456C-4397-B274-C9B552A08DC9,22:23.2
A4B14B24-DD6E-4682-BE9F-227451CEB423,77,0.039021157,NULL,NULL,A4B14B24-DD6E-4682-BE9F-227451CEB423,129,129,81,77,81,Nominal Strain at Break,77,25,Nominal Strain at Break (Standard),25,Break (Standard),426C22EE-C7BF-4D1B-8336-40EE22A63702,PA6 + BN 20% Flakes,4E243530-456C-4397-B274-C9B552A08DC9,426C22EE-C7BF-4D1B-8336-40EE22A63702,A4B14B24-DD6E-4682-BE9F-227451CEB423,4E243530-456C-4397-B274-C9B552A08DC9,22:23.2
A4B14B24-DD6E-4682-BE9F-227451CEB423,78,0.031569198,NULL,NULL,A4B14B24-DD6E-4682-BE9F-227451CEB423,130,130,127,78,127,Tensile strain at tensile strength,78,23,Tensile strain (Strain 1) at Max Load,23,Max Load,426C22EE-C7BF-4D1B-8336-40EE22A63702,PA6 + BN 20% Flakes,4E243530-456C-4397-B274-C9B552A08DC9,426C22EE-C7BF-4D1B-8336-40EE22A63702,A4B14B24-DD6E-4682-BE9F-227451CEB423,4E243530-456C-4397-B274-C9B552A08DC9,22:23.2
